RIB,Amount,Expiration_date,Verification_code,Card_type,Account_type,Id_client
5416423727,8177.15 dhs,2/2023,618,Mastercard,Epargne,561335
1196151890,9039.04 dhs,5/2024,403,American Express,CourantEpargne,71582
5246189072,6794.77 dhs,10/2023,668,Mastercard,Epargne,200178
8078264273,6484.3 dhs,4/2030,230,Visa,Epargne,150380
7879409935,3837.84 dhs,2/2029,081,American Express,CourantEpargne,188131
3889643667,6088.44 dhs,11/2025,443,American Express,CourantEpargne,331103
1530181958,200.27 dhs,12/2030,441,Visa,CourantEpargne,688841
9113859509,380.92 dhs,5/2023,301,Visa,Epargne,200546
1822925933,1781.04 dhs,1/2024,584,American Express,Epargne,450772
4072825993,5482.6 dhs,10/2027,821,Mastercard,CourantEpargne,464187
2902201744,2101.99 dhs,5/2028,226,Visa,Epargne,768860
1005654685,5243.34 dhs,4/2027,569,American Express,Epargne,738072
0606842889,7242.21 dhs,10/2026,199,Visa,Epargne,775996
4388406877,8986.03 dhs,6/2027,223,Mastercard,Epargne,156283
1938418068,5070.87 dhs,3/2029,300,Mastercard,CourantEpargne,833187
1802361440,1733.88 dhs,10/2028,539,Visa,Courant,785725
0150484697,8437.04 dhs,4/2030,594,Visa,Epargne,343339
5900899205,8540.77 dhs,4/2030,329,Mastercard,CourantEpargne,585447
9335226902,6846.34 dhs,3/2028,937,American Express,Epargne,134221
5561591968,4626.3 dhs,4/2024,310,Visa,CourantEpargne,439022
5322061085,9646.2 dhs,3/2024,705,American Express,CourantEpargne,275808
1988958172,3982.66 dhs,4/2027,280,Visa,Epargne,528344
7954907320,1910.38 dhs,7/2026,001,Mastercard,CourantEpargne,485472
4584499438,4321.27 dhs,12/2029,586,Visa,Courant,564189
2759563074,3805.56 dhs,8/2023,865,Visa,CourantEpargne,506223
3274903089,3841.35 dhs,9/2025,729,Mastercard,CourantEpargne,502250
3384561181,2640.6 dhs,6/2023,476,Mastercard,Epargne,542905
9779836125,9213.85 dhs,3/2030,732,Visa,CourantEpargne,342196
3813959148,1530.62 dhs,9/2027,089,Mastercard,Courant,978375
4530200195,3804.61 dhs,6/2029,580,Mastercard,Courant,443586
8288413215,2426.98 dhs,4/2030,771,Visa,Epargne,596260
0778084913,5095.34 dhs,1/2025,125,Mastercard,Epargne,10866
5983063670,9349.73 dhs,3/2023,649,American Express,Courant,274189
2563614191,1955.46 dhs,4/2026,069,Mastercard,Courant,161992
2919081025,7250.75 dhs,2/2028,515,Mastercard,Epargne,584926
6561380454,9724.71 dhs,6/2030,364,Mastercard,Epargne,838701
0411941767,408.74 dhs,1/2030,848,Visa,Epargne,674220
3069975655,2246.36 dhs,9/2029,681,American Express,CourantEpargne,571016
6264606975,6143.57 dhs,7/2024,289,Visa,Courant,777597
4418065341,3175.48 dhs,4/2026,921,Visa,CourantEpargne,488421
4704185620,1421.19 dhs,9/2028,917,American Express,Courant,540742
7612544555,2399.11 dhs,6/2030,435,American Express,CourantEpargne,571062
